scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db
S5,1,1592,1048751438,73A1TASZFQ <...>,269,2.400,-28
S5,1,1594,682067560,CQ <...>,1322,0.800,-26
S5,1,1610,377574892,<...> <RDCTG301> R AN25,1731,-1.360,-28
S5,1,1612,1416475312,<RDCTG227>/P <RDCTG302>/P PO95,1000,1.760,-26
S5,1,161,1170469774,002EA8481CB2C00E4D,969,-1.520,-26
S5,1,1620,669356267,32XKG/P <RDCTG51>/P JI64,2938,2.720,-26
S5,1,1628,1399017183,.<RDCTG132>.+0 ?GU,1316,-1.200,-27
S5,1,1635,1342727128,CQ <...>,1216,-1.360,-28
S5,1,1640,1241012328,023 DL/P <RDCTG164> O CO96,928,-0.960,-26
S5,1,1641,540864918,CQ VTTX <RDCTG28> KN81,1600,-1.440,-27
S5,1,1661,1993089701,<RDCTG144> D10DDW/R R DN86,2616,-1.280,-28
S5,1,1670,1548117048,L25NWB/P <RDCTG258> CG02,1497,-1.280,-28
S5,1,1675,990806092,<RDCTG267> <RDCTG315> R FL30,2375,2.640,-27
S5,1,1677,1457892473,<RDCTG25> <RDCTG89> EH18,269,1.840,-26
S5,1,1685,236803810,CQ RSMY <RDCTG103>/R GQ89,753,-1.600,-28
S5,1,1697,1055880711,<RDCTG342>/P <RDCTG73> R AQ77,584,-1.280,-27
S5,1,1710,312463294,G00B W D04 ZC R HG78,1238,0.080,-25
S5,1,1711,1689793809,<...> <RDCTG232> KN40,2456,-1.440,-28
S5,1,1717,2064964936,<RDCTG22> <RDCTG35>/R HQ04,1978,-0.720,-28
S5,1,1734,2125329482,<RDCTG150>/R <RDCTG176>/R KL04,1222,-0.800,-28
S5,1,1734,2125329482,CQ GXD13RZ2N9U,269,-0.080,-29
S5,1,1739,444972584,N21 KJ EU2 KD/R R DK80,266,-0.960,-26
S5,1,1767,1868378451,<...> VSPJDO9ZX8C RRR,2369,0.240,-26
S5,1,1768,271819923,<RDCTG259>/R S17TEE R KD88,1806,-0.720,-27
S5,1,1783,1827074555,<6U0G0189TTE> VQOYCQKVDL7 RR73,1175,-0.880,-28
S5,1,1810,1737215455,P 0D- Q39+8U8,1609,-1.040,-28
S5,1,1814,2127297219,CQ <...>,2906,-1.120,-28
S5,1,1817,1938612748,CQ <...>,1675,-1.360,-27
S5,1,181,959354582,CQ 65JAN8MBA5,600,-0.800,-27
S5,1,1826,1096155418,5ICF/<RDCTG110> <...> RR73,2866,-1.120,-29
S5,1,1831,530341373,Y?FEGOA L WZM,2953,-0.320,-27
S5,1,1838,782768518,<RDCTG299>/R <RDCTG175>/R AC37,2188,-1.200,-28
S5,1,1851,596386101,020DA5CC36F0B091B2,1191,-1.600,-27
S5,1,1865,1677798052,CQ <A4 DY/P>,928,2.480,-27
