scenario,part,trial,seed,n_decodes
S5,0,1449,166382436,0
S5,0,144,477164100,0
S5,0,1450,956029212,1
S5,0,1451,1764916114,1
S5,0,1452,56180910,0
S5,0,1453,966409391,1
S5,0,1454,478352364,0
S5,0,1455,1396744788,1
S5,0,1456,67167395,1
S5,0,1457,565295843,0
S5,0,1458,618736975,0
S5,0,1459,1667174199,0
S5,0,145,1826690492,0
S5,0,1460,320095784,0
S5,0,1461,111113923,0
S5,0,1462,170546124,0
S5,0,1463,1391361017,0
S5,0,1464,383176631,0
S5,0,1465,410358979,0
S5,0,1466,1618924309,0
S5,0,1467,722662004,0
S5,0,1468,387567499,0
S5,0,1469,1593563829,1
S5,0,146,1079286763,0
S5,0,1470,587697297,0
S5,0,1471,1449729288,0
S5,0,1472,819693861,0
S5,0,1473,830347589,0
S5,0,1474,787309254,1
S5,0,1475,896864156,0
S5,0,1476,1345946446,0
S5,0,1477,438663691,0
S5,0,1478,541428784,0
S5,0,1479,1594454372,0
S5,0,147,2146001183,0
S5,0,1480,1739385963,0
S5,0,1481,977799268,0
S5,0,1482,1796766619,0
S5,0,1483,392458077,0
S5,0,1484,1638197239,0
S5,0,1485,181540308,0
S5,0,1486,1417835393,0
S5,0,1487,1738580487,0
S5,0,1488,59067072,0
S5,0,1489,201415534,0
S5,0,148,1459606620,0
S5,0,1490,516959604,0
S5,0,1491,755912078,1
S5,0,1492,1812276298,0
S5,0,1493,1793458505,0
S5,0,1494,834100408,0
S5,0,1495,1944096285,2
S5,0,1496,1364039518,0
S5,0,1497,996603974,0
S5,0,1498,1851364932,0
S5,0,1499,1811396480,0
S5,0,149,1730583611,0
S5,0,1500,1280725005,0
S5,0,1501,2016219245,0
S5,0,1502,2039806579,0
S5,0,1503,1987969803,0
S5,0,1504,1681044791,0
S5,0,1505,1658693267,2
S5,0,1506,1980311485,0
S5,0,1507,1469152244,0
S5,0,1508,874222751,0
S5,0,1509,1446861934,0
S5,0,150,2092704402,1
S5,0,1510,1023113462,0
S5,0,1511,1345321482,0
S5,0,1512,1650972490,0
S5,0,1513,2057215496,0
S5,0,1514,203613346,0
S5,0,1515,606654889,0
S5,0,1516,67592728,0
S5,0,1517,1399376646,0
S5,0,1518,20366765,0
S5,0,1519,1126486116,1
S5,0,151,128252053,0
S5,0,1520,1607216236,1
S5,0,1521,418392717,1
S5,0,1522,1559662993,0
S5,0,1523,1922870258,1
S5,0,1524,65288914,0
S5,0,1525,1477142068,0
S5,0,1526,919253823,0
