cycle_stem,elapsed_s,lag_seconds,lag_seconds_subsample,peak_corr
260730_153645,75855,-3.92233,-3.92233,0.9910
260730_154030,76080,-3.92233,-3.92233,0.9908
260730_154415,76305,-3.92233,-3.92233,0.9812
260730_154800,76530,-3.96233,-3.96233,0.9874
260730_155145,76755,-3.96233,-3.96233,0.9768
260730_155530,76980,-3.96233,-3.96233,0.9882
260730_155915,77205,-3.96233,-3.96233,0.9766
260730_160300,77430,-4.00233,-4.00233,0.9839
260730_160645,77655,-4.00233,-4.00233,0.9979
260730_161030,77880,-4.00233,-4.00232,0.9786
260730_161415,78105,-4.00233,-4.00233,0.9920
260730_161800,78330,-4.04233,-4.04233,0.9972
260730_162145,78555,-4.04233,-4.04233,0.9950
260730_162530,78780,-4.04233,-4.04233,0.9850
260730_162915,79005,-4.08233,-4.08233,0.9936
260730_163300,79230,-4.08233,-4.08233,0.9835
260730_163645,79455,-4.08233,-4.08233,0.9894
260730_164030,79680,-4.08233,-4.08233,0.9960
260730_164415,79905,-4.12233,-4.12233,0.9981
260730_164800,80130,-4.12233,-4.12233,0.9987
260730_165145,80355,-4.12233,-4.12233,0.9978
260730_165530,80580,-4.12233,-4.12233,0.9740
260730_165915,80805,-4.16233,-4.16233,0.9824
260730_170300,81030,-4.16233,-4.16233,0.9741
260730_170645,81255,-4.16233,-4.16233,0.9863
260730_171030,81480,-4.16233,-4.16233,0.9885
260730_171415,81705,-4.20233,-4.20233,0.9782
260730_171800,81930,-4.20233,-4.20233,0.9850
260730_172145,82155,-4.20233,-4.20233,0.9751
260730_172530,82380,-4.24233,-4.24233,0.9833
260730_172915,82605,-4.24233,-4.24233,0.9745
260730_173300,82830,-4.24233,-4.24233,0.9799
260730_173645,83055,-4.24233,-4.24233,0.9251
260730_174030,83280,-4.28233,-4.28233,0.9784
260730_174415,83505,-4.28233,-4.28233,0.9763
260730_174800,83730,-4.28233,-4.28233,0.9873
260730_175145,83955,-4.28233,-4.28233,0.9750
260730_175530,84180,-4.32233,-4.32233,0.9754
260730_175915,84405,-4.32233,-4.32233,0.9865
260730_180300,84630,-4.32233,-4.32233,0.9701
260730_180645,84855,-4.32233,-4.32233,0.9780
260730_181030,85080,-4.36233,-4.36233,0.9652
260730_181415,85305,-4.36233,-4.36233,0.9861
260730_181800,85530,-4.36233,-4.36233,0.9721
260730_182145,85755,-4.40233,-4.40233,0.9830
260730_182530,85980,-4.40233,-4.40233,0.9737
260730_182915,86205,-4.40233,-4.40233,0.9503
260730_183300,86430,-4.40233,-4.40233,0.9821
260730_183645,86655,-4.44233,-4.44233,0.9711
